"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"LA",2020-05-24,244,2153.6491529138,400.707480525046,6481.38311585925,23,21.6568976745979,15.5050853851194,30.259199040651,1.02315540591541,0.683727080975247,1.41378609999921,16343.6524285022,4877.80954549513,39956.7008633946
"LA",2020-05-25,640,1208.09555953065,206.904435438903,3647.19933875095,0,21.1352752950888,14.7506153357481,30.3603073251314,0.569936841691521,0.366191335018946,0.808708423297431,16401.7857521142,4597.69016304434,41297.9945295189
"LA",2020-05-26,245,1932.59213106952,316.841096504823,6153.48752697753,11,20.655314914277,13.9873872179119,30.5397826311345,0.907798057123244,0.612211161888655,1.24849499462402,16391.8273765021,4321.32295254104,42851.1545350568
"LA",2020-05-27,443,2072.44252312017,320.527174627653,6719.58583717305,21,20.2123221446936,13.2577718533441,30.7837204958775,0.984003466732492,0.660380310026175,1.35270261485801,16165.18542385,4028.32363436126,43373.4115771289
"LA",2020-05-28,305,2040.04438403895,295.51478760742,6788.06329506556,18,19.8084817962512,12.5034923896355,31.1249030875142,0.975326327915472,0.654387558864709,1.3399397177472,15997.1411316265,3756.16681899974,44177.0185425062
"LA",2020-05-29,0,1884.00464666286,257.261147582437,6395.40354012859,26,19.4385228478637,11.8209914332935,31.596401828572,0.898752704901714,0.607341787789521,1.23329615965069,15969.2300604664,3521.07400716909,45535.5985596117
"MA",2020-02-23,0,64.961515977609,16.4930807024742,179.479012023722,0,6.4961515977609e-14,1.64930807024742e-14,1.79479012023722e-13,3.54433225081417,2.31638355227574,4.76084240848191,0,0,0
"MA",2020-02-24,0,64.961515977609,16.4930807024742,179.479012023722,0,1.20342894883443e-06,3.08143575520862e-07,3.33806637622577e-06,3.47409407119939,2.26596540436271,4.67199840283878,10.0560933953287,2.55314177055139,27.7834911986041
"MA",2020-02-25,0,64.961515977609,16.4930807024742,179.479012023722,0,2.46702934511057e-05,6.31694329817767e-06,6.84303607126282e-05,3.33279544528996,2.14530164891628,4.53302523191021,46.5971711615062,11.830556798253,128.741057182995
"MA",2020-02-26,0,64.961515977609,16.4930807024742,179.479012023722,0,0.000142004615962462,3.63609419114617e-05,0.000393891832394641,3.41645803403502,2.20891315795498,4.62625983351519,102.520198859915,26.0288555152113,283.248069675517
